id,old_id,title,skill_group,skill_auto,level,question_type,answer_input_type,prompt,correct_answer,explanation,answer_key,answer_schema
Q0001,,예약 건수 계산 함수 판단,basic,basic_count,1,choice_one,text,"📌 예약 건수 계산 함수 판단

다음 행사 예약 데이터에서 전체 예약 건수를 구하려고 한다.

[입력 데이터]
예약번호|행사장|예약일|인원
R001|A홀|2026-09-03|200
R002|B홀|2026-09-04|450
R003|C홀|2026-09-04|150
R004|A홀|2026-09-05|300
R005|B홀|2026-09-06|250

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",B,예약번호는 문자 데이터이므로 비어 있지 않은 셀을 세는 COUNTA가 적절하다.,,"A|=COUNT(A2:A6)
B|=COUNTA(A2:A6)
C|=SUM(A2:A6)
D|=AVERAGE(A2:A6)"
Q0002,,출장 횟수 계산 오류 찾기,basic,basic_count,1,error_detect,text,"📌 출장 횟수 계산 오류 찾기

다음 방문 기록의 전체 개수를 구하려고 한다.

[입력 데이터]
사번|이름|지역|방문일
A101|김도윤|부산|2026-05-06
A102|이서진|부산|2026-05-06
A103|박하린|여수|2026-05-12
A104|최민재|울산|2026-05-13
A105|정유나|대전|2026-05-18

사용자가 입력한 수식: =COUNT(A2:A6)

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",B,COUNT는 숫자만 세므로 문자 코드가 들어 있는 사번 열에는 적절하지 않다.,,"A|범위가 한 행 부족하다
B|사번은 문자라 COUNT로 세지 못한다
C|SUM 함수를 써야 한다
D|날짜 형식이 잘못되었다"
Q0003,Q333,강좌 데이터 입력 확인,basic,basic_input,1,short_answer,text,"📌 강좌 데이터 입력 확인

문화센터 강좌 목록의 일부이다.

[입력 데이터]
지점|강좌명|수강료
송파점|기초 드로잉|40000
잠실점|생활 요가|60000
영등포점|건강 워킹|70000

👉 입력 데이터에서 요구한 항목의 값을 정확히 입력하세요.",생활요가,,,
Q0004,,국가 데이터 개수 함수 판단,basic,basic_input,1,choice_one,text,"📌 국가 데이터 개수 함수 판단

다음 제조 국가 목록에서 국가 데이터 개수를 구하려고 한다.

[입력 데이터]
장비명|국가
센서 장치|일본
측정 장비|독일
분석 장비|미국
정밀 장비|네덜란드

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",C,국가명은 텍스트이므로 COUNTA로 개수를 세야 한다.,,"A|=COUNT(B2:B5)
B|=SUM(B2:B5)
C|=COUNTA(B2:B5)
D|=MAX(B2:B5)"
Q0005,Q301,데이터 입력 확인,basic,basic_input,1,short_answer,text,"📌 데이터 입력 확인

상품 데이터 일부이다.

[입력 데이터]
상품명|가격
감기약|5000
소화제|3000

👉 입력 데이터에서 요구한 항목의 값을 정확히 입력하세요.",소화제,,,
Q0006,Q201,도서 데이터 입력 확인,basic,basic_input,1,short_answer,text,"📌 도서 데이터 입력 확인

도서 목록 데이터이다.

[입력 데이터]
코드|출판사|도서명|가격
A1|한빛|파이썬입문|10000
A2|길벗|엑셀마스터|12000

👉 입력 데이터에서 요구한 항목의 값을 정확히 입력하세요.",엑셀마스터,,,
Q0007,Q346,도서 데이터 입력 확인,basic,basic_input,1,short_answer,text,"📌 도서 데이터 입력 확인

도서 신청 목록 일부이다.

[입력 데이터]
도서코드|출판사|도서명
BK-01|문학사|달빛정원
BK-02|지식사|데이터기초

👉 입력 데이터에서 요구한 항목의 값을 정확히 입력하세요.",달빛정원,,,
Q0008,,장비 가격 합계 오류 찾기,basic,basic_input,1,error_detect,text,"📌 장비 가격 합계 오류 찾기

다음 장비 가격의 합계를 구하려고 한다.

[입력 데이터]
코드|장비명|가격
A-100|센서 장치|50000000
B-200|측정 장비|30000000
C-300|분석 장비|40000000
D-400|정밀 장비|60000000

사용자가 입력한 수식: =COUNT(C2:C5)

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",A,가격의 총합은 COUNT가 아니라 SUM으로 계산해야 한다.,,"A|합계가 아니라 개수를 센다
B|가격 열 범위가 비어 있다
C|텍스트 데이터라 계산할 수 없다
D|반올림 함수가 필요하다"
Q0009,,접수 데이터 입력 확인,basic,basic_input,1,short_answer,text,"📌 접수 데이터 입력 확인

다음은 지원자 접수 정보이다.

[입력 데이터]
번호|회사|접수일|학과|금액
A1|알파|2026-01-01|디자인|1500000
A2|베타|2026-01-02|개발|1700000

👉 입력 데이터에서 요구한 항목의 값을 정확히 입력하세요.",알파,,,
Q0010,,메모 내용 확인,basic,basic_memo,1,short_answer,text,"📌 메모 내용 확인

특정 셀에 메모가 추가되어 있다.

[입력 데이터]
메모 내용: 2025년 5월 일정

👉 입력 데이터에서 요구한 항목의 값을 정확히 입력하세요.",2025년5월일정,,,
Q0011,,총 매출 계산 수식 판단,basic,basic_sum,2,choice_one,text,"📌 총 매출 계산 수식 판단

다음 제품별 판매 데이터에서 전체 매출 합계를 구하려고 한다.

[입력 데이터]
제품|단가|수량
A|2000|10
B|1500|20
C|3000|5

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",D,매출은 단가와 수량을 행별로 곱한 뒤 합산해야 하므로 SUMPRODUCT가 적절하다.,,"A|=SUM(B2:B4)
B|=SUM(C2:C4)
C|=AVERAGE(B2:C4)
D|=SUMPRODUCT(B2:B4,C2:C4)"
Q0012,,텍스트 분리 결과,basic,text_split,2,short_answer,text,"📌 텍스트 분리 결과

쉼표로 구분된 데이터를 분리한다.

[입력 데이터]
값: A홀,2026-09-03,200

👉 텍스트 처리 결과로 얻어지는 최종 문자열을 정확히 입력하세요.",2026-09-03,,,
Q0013,,최고 점수 계산 오류 찾기,calculation_stats,aggregate_max,2,error_detect,text,"📌 최고 점수 계산 오류 찾기

다음 점수 중 가장 높은 점수를 구하려고 한다.

[입력 데이터]
점수
50
80
90
70

사용자가 입력한 수식: =MIN(A2:A5)

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",C,최고값은 MIN이 아니라 MAX로 구해야 한다.,,"A|범위가 너무 넓다
B|평균을 구한다
C|최고값이 아니라 최솟값을 구한다
D|숫자가 아니라 텍스트만 계산한다"
Q0014,,평균 계산 함수 판단,calculation_stats,average,2,choice_one,text,"📌 평균 계산 함수 판단

값 70, 80, 90의 평균을 구하려고 한다.

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",B,평균은 AVERAGE 함수로 계산한다.,,"A|=SUM(70,80,90)
B|=AVERAGE(70,80,90)
C|=MAX(70,80,90)
D|=COUNT(70,80,90)"
Q0015,Q211,평균 계산 오류 찾기,calculation_stats,average,2,error_detect,text,"📌 평균 계산 오류 찾기

값 60, 70, 80의 평균을 구하려고 한다.
사용자가 입력한 수식: =SUM(60,70,80)

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",B,SUM은 합계 함수다. 평균은 AVERAGE를 사용해야 한다.,,"A|최댓값을 구한다
B|평균이 아니라 합계를 구한다
C|조건이 빠졌다
D|셀 참조가 불가능하다"
Q0016,Q309,AVERAGEIF 함수 판단,calculation_stats,averageif,3,choice_one,text,"📌 AVERAGEIF 함수 판단

다음 데이터에서 수학 점수만 평균 내려고 한다.

[입력 데이터]
과목|점수
수학|80
영어|90
수학|100

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",A,특정 조건에 맞는 값의 평균은 AVERAGEIF를 사용한다.,,"A|=AVERAGEIF(A2:A4,""수학"",B2:B4)
B|=AVERAGE(B2:B4)
C|=COUNTIF(A2:A4,""수학"")
D|=SUMIF(B2:B4,""수학"",A2:A4)"
Q0017,,여성 평균 점수 계산 오류 찾기,calculation_stats,averageif_roundup,3,error_detect,text,"📌 여성 평균 점수 계산 오류 찾기

여성 평균 점수를 올림하여 소수 첫째 자리까지 표시하려고 한다.

[입력 데이터]
이름|성별|점수
김서연|여|81.2
박민수|남|77.4
이하린|여|89.1
최준호|남|68.8
정유진|여|90.0

사용자가 입력한 수식: =AVERAGE(C2:C6)

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",A,전체 평균이 아니라 여성만 조건으로 걸어 평균을 내야 한다.,,"A|여성 조건이 빠졌다
B|점수 범위가 비어 있다
C|최댓값을 구한다
D|텍스트 함수가 필요하다"
Q0018,Q340,20평대 조건 판단,calculation_stats,count_range,3,choice_one,text,"📌 20평대 조건 판단

20평대 거래 건수를 세려고 한다. 20평대는 20 이상 30 미만이다.

[입력 데이터]
평수
24
31
28
19
22

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",C,20평대는 20 이상이면서 30 미만인 값이다.,,"A|20보다 크고 30보다 작거나 같음
B|20보다 작고 30보다 큼
C|20 이상 AND 30 미만
D|20 초과 OR 30 미만"
Q0019,Q317,COUNTIFS 조건 오류 찾기,calculation_stats,countifs,3,error_detect,text,"📌 COUNTIFS 조건 오류 찾기

성별이 여이고 점수가 70 이상인 개수를 세려고 한다.

[입력 데이터]
성별|점수
여|80
남|90
여|70

사용자가 입력한 수식: =COUNTIF(A2:A4,""여"")

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",B,두 조건을 동시에 만족해야 하므로 COUNTIFS를 써야 한다.,,"A|성별 조건이 틀렸다
B|점수 70 이상 조건이 빠졌다
C|평균 함수가 필요하다
D|범위에 숫자가 없다"
Q0020,Q209,COUNTIFS 수식 판단,calculation_stats,countifs,3,choice_one,text,"📌 COUNTIFS 수식 판단

2학년이면서 점수가 80 이상인 개수를 세려고 한다.

[입력 데이터]
학년|점수
1|50
2|80
2|90
3|70

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",D,두 조건을 모두 만족하는 개수는 COUNTIFS로 구한다.,,"A|=COUNTIF(A2:A5,2)
B|=COUNTIF(B2:B5,"">=80"")
C|=SUMIF(A2:A5,2,B2:B5)
D|=COUNTIFS(A2:A5,2,B2:B5,"">=80"")"
Q0021,,평균 이상 판매량 조건 오류 찾기,calculation_stats,countifs,3,error_detect,text,"📌 평균 이상 판매량 조건 오류 찾기

판매량이 평균 이상이고 재고가 20 미만인 상품 개수를 세려고 한다.

[입력 데이터]
상품|판매량|재고
A|30|10
B|50|5
C|40|25
D|60|15
E|20|8

사용자가 입력한 조건: 판매량 > 평균 AND 재고 < 20

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",A,평균 이상은 평균과 같은 값도 포함하므로 >=가 맞다.,,"A|평균 이상은 >가 아니라 >=를 써야 한다
B|재고 조건은 20 초과여야 한다
C|상품명 조건이 빠졌다
D|판매량 조건은 필요 없다"
Q0022,,국어 영어 조건 판단,calculation_stats,countifs,3,choice_one,text,"📌 국어 영어 조건 판단

국어 70 이상 AND 영어 70 이상인 학생 수를 구하려고 한다.

[입력 데이터]
이름|국어|영어
A|80|90
B|60|75
C|85|88
D|70|65

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",B,A와 C만 두 과목 모두 70 이상이다.,,"A|A, B
B|A, C
C|C, D
D|A, C, D"
Q0023,,학년 점수 조건 오류 찾기,calculation_stats,countifs,3,error_detect,text,"📌 학년 점수 조건 오류 찾기

2학년이면서 점수가 400 이상인 인원 수를 구하려고 한다.

[입력 데이터]
학년|점수
2|450
2|300
3|500
2|420

사용자가 입력한 수식: =COUNTIF(B2:B5,"">=400"")

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",C,점수 조건뿐 아니라 학년 조건도 함께 적용해야 한다.,,"A|점수 조건이 틀렸다
B|400 이상이 아니라 400 초과여야 한다
C|2학년 조건이 빠졌다
D|합계를 구해야 한다"
Q0024,,서울 평균 수식 판단,calculation_stats,db_average,3,choice_one,text,"📌 서울 평균 수식 판단

서울 지역의 판매량 평균을 구하려고 한다.

[입력 데이터]
지역|판매량
서울|120
부산|150
서울|180
대구|100

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",A,조건에 맞는 값의 평균은 AVERAGEIF로 계산한다.,,"A|=AVERAGEIF(A2:A5,""서울"",B2:B5)
B|=AVERAGE(B2:B5)
C|=SUMIF(A2:A5,""서울"",B2:B5)
D|=COUNTIF(A2:A5,""서울"")"
Q0025,Q315,조건부 평균 오류 찾기,calculation_stats,db_average,3,error_detect,text,"📌 조건부 평균 오류 찾기

서울 지역 매출 평균을 구하려고 한다.

[입력 데이터]
지역|매출
서울|100
부산|200
서울|300

사용자가 입력한 수식: =AVERAGE(B2:B4)

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",A,서울만 평균 내야 하므로 조건부 평균을 사용해야 한다.,,"A|서울 조건이 빠졌다
B|매출 범위가 틀렸다
C|개수를 세고 있다
D|최댓값을 구하고 있다"
Q0026,,생산부 평균 급여 반올림 판단,calculation_stats,db_average_round,3,choice_one,text,"📌 생산부 평균 급여 반올림 판단

생산부 평균 급여를 천 단위로 반올림하려고 한다.

[입력 데이터]
이름|부서|급여
김민수|생산|3200
이서연|영업|2800
박지훈|생산|3600
최유진|생산|3000

👉 보기 중 조건을 가장 정확하게 만족하는 항목을 선택하세요.",D,먼저 생산부 조건을 적용한 뒤 평균과 반올림을 처리해야 한다.,,"A|전체 급여 평균 → 반올림
B|생산부 개수 세기 → 반올림
C|최대 급여 찾기 → 반올림
D|생산부 급여 평균 → 천 단위 반올림"
Q0027,,전자부서 여성 인원 수 오류 찾기,calculation_stats,db_count,2,error_detect,text,"📌 전자부서 여성 인원 수 오류 찾기

부서가 전자이고 성별이 여인 직원 수를 구하려고 한다.

[입력 데이터]
이름|부서|성별|근무형태
김서연|전자|여|정규
박민수|기획|남|정규
이하린|전자|여|계약
최준호|전자|남|정규
정유진|디자인|여|계약
한소희|전자|여|정규

사용자가 입력한 수식: =COUNTIF(B2:B7,""전자"")

👉 보기 중 수식 또는 조건의 문제점을 가장 정확하게 설명한 항목을 선택하세요.",B,전자 부서 조건과 성별 여 조건을 동시에 적용해야 한다.,,"A|전자 조건이 틀렸다
B|성별 여 조건이 빠졌다
C|근무형태 조건이 빠졌다
D|합계를 구하고 있다"
Q0028,,부서 조건 급여 합계 계산,calculation_stats,db_sum,3,value_answer,number,"📌 부서 조건 급여 합계 계산

다음은 직원 급여 데이터이다.

[입력 데이터]
이름|부서|급여
김나영|영업|320
박지훈|개발|400
이서윤|영업|280
최민석|인사|260
정하린|영업|300

👉 입력 데이터에서 조건에 맞는 합계값을 계산해 숫자만 입력하세요.",900,,,
Q0029,,평균 점수 등급 판정,calculation_stats,hlookup_average,3,short_answer,text,"📌 평균 점수 등급 판정

두 시험의 평균으로 등급을 판정한다.

[규칙]
- 0~59=노력
- 60~79=보통
- 80~89=우수
- 90이상=최우수

[입력 데이터]
중간: 84
기말: 92

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",우수,,,
Q0030,,시간 차이 계산,calculation_stats,hour_minute,3,value_answer,number,"📌 시간 차이 계산

시작시간과 종료시간의 차이를 계산한다.

[입력 데이터]
시작시간: 09:30
종료시간: 11:10

👉 조건에 맞게 계산한 시간 값을 숫자만 입력하세요.",2,,,
Q0031,Q339,승진 여부 판단,calculation_stats,if_and_average,3,short_answer,text,"📌 승진 여부 판단

평균 점수와 벌점을 함께 고려해 승진 여부를 결정한다.

[규칙]
- 평균>=75 AND 벌점<10 이면 승진
- 그 외는 빈칸

[입력 데이터]
실적점수: 80
연수점수: 70
벌점: 8

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",승진,,,
Q0032,,최대 판매 표시,calculation_stats,if_max_min,3,short_answer,text,"📌 최대 판매 표시

다음은 상품별 판매 수량이다.

[입력 데이터]
상품|판매수량
A|25
B|40
C|18
D|40

👉 조건을 적용했을 때 화면에 표시되는 최종 결과를 정확히 입력하세요.",최대판매,,,
Q0033,Q323,최대 사용량 고객 찾기,calculation_stats,index_match_max,3,short_answer,text,"📌 최대 사용량 고객 찾기

사용자별 전력 사용량이 주어져 있다.

[입력 데이터]
사용자|사용량
김도윤|120
이서진|180
박하린|160
최민재|140

👉 조건을 적용했을 때의 최종 결과를 정확히 입력하세요.",이서진,,,
Q0034,,상위 값 판정,calculation_stats,large_if,3,short_answer,text,"📌 상위 값 판정

점수 중 상위 3개를 구분한다.

[입력 데이터]
점수
70
85
90
60
88

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",포함,,,
Q0035,Q217,최대값 계산,calculation_stats,max,2,value_answer,number,"📌 최대값 계산

다음 입력 데이터와 조건을 기준으로 최대값 계산의 계산 결과를 구하세요.

[입력 데이터]
값: 10,50,30

👉 입력 데이터에서 조건에 맞는 최대값을 계산해 숫자만 입력하세요.",50,,,
Q0036,Q319,최대값 계산,calculation_stats,max,2,value_answer,number,"📌 최대값 계산

다음 입력 데이터와 조건을 기준으로 최대값 계산의 계산 결과를 구하세요.

[입력 데이터]
10,20,30

👉 입력 데이터에서 조건에 맞는 최대값을 계산해 숫자만 입력하세요.",30,,,
Q0037,Q218,최소값 계산,calculation_stats,min,2,value_answer,number,"📌 최소값 계산

다음 입력 데이터와 조건을 기준으로 최소값 계산의 계산 결과를 구하세요.

[입력 데이터]
값: 10,50,30

👉 입력 데이터에서 조건에 맞는 최소값을 계산해 숫자만 입력하세요.",10,,,
Q0038,Q219,비율 계산,calculation_stats,percent,3,value_answer,number,"📌 비율 계산

다음 입력 데이터와 조건을 기준으로 비율 계산의 계산 결과를 구하세요.

[입력 데이터]
전체: 200
부분: 50

👉 입력 데이터와 조건을 기준으로 계산한 비율 값을 숫자만 입력하세요.",25,,,
Q0039,Q320,비율 계산,calculation_stats,percent,3,value_answer,number,"📌 비율 계산

다음 입력 데이터와 조건을 기준으로 비율 계산의 계산 결과를 구하세요.

[입력 데이터]
전체: 400
부분: 100

👉 입력 데이터와 조건을 기준으로 계산한 비율 값을 숫자만 입력하세요.",25,,,
Q0040,Q316,순위 계산,calculation_stats,rank_eq,3,short_answer,text,"📌 순위 계산

점수 순위

[입력 데이터]
50
80
70

👉 조건을 적용했을 때의 최종 결과를 정확히 입력하세요.",1,,,
Q0041,,순위 판정,calculation_stats,rank_eq,3,short_answer,text,"📌 순위 판정

점수 순위를 계산한다.

[입력 데이터]
점수
100
90
80

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",1,,,
Q0042,Q208,순위 판정,calculation_stats,rank_eq,3,short_answer,text,"📌 순위 판정

점수 순위 계산

[입력 데이터]
점수
70
90
80

👉 조건을 적용했을 때의 최종 판정 결과를 정확히 입력하세요.",1,,,
